year,month,day,hour,minute,second,latitude,longitude,depth,mag_type,magnitude
1973,8,11,20,36,17.0,32.83,104.05,0,ML,2.9
1973,8,11,20,53,9.0,32.83,104.13,0,ML,3.2
1973,8,11,21,3,4.0,32.78,104.0,0,ML,3.1
1973,8,11,21,6,46.0,32.82,104.02,0,ML,3.1
1973,8,11,21,10,11.0,32.82,104.03,0,ML,2.6
1973,8,11,21,26,57.0,32.8,104.07,0,ML,3.1
1973,8,11,21,30,39.0,32.85,104.03,0,ML,3.1
1973,8,11,22,19,39.0,32.93,103.95,0,ML,2.3
1973,8,11,22,41,42.0,32.87,103.92,0,ML,2.6
1973,8,11,22,46,33.0,32.85,103.97,0,ML,2.4
1973,8,11,22,48,35.0,32.85,104.0,0,ML,2.1
1973,8,11,23,27,40.0,32.83,104.02,0,ML,2.0
1973,8,11,23,57,3.0,32.9,103.9,0,ML,4.3
1973,8,12,0,6,19.0,32.9,104.02,0,ML,2.6
1973,8,12,0,8,6.0,32.88,104.0,0,ML,2.9
1973,8,12,0,23,35.0,32.8,104.1,0,ML,2.6
1973,8,12,0,34,0.0,32.85,104.1,0,ML,2.8
1973,8,12,0,37,32.0,33.0,104.08,0,ML,2.2
1973,8,12,1,12,17.0,32.9,103.9,0,ML,4.2
1973,8,12,1,21,18.0,32.88,104.15,0,ML,2.7
1973,8,12,1,59,31.0,32.88,104.03,0,ML,3.1
1973,8,12,2,15,49.0,32.92,103.88,0,ML,2.6
1973,8,12,2,17,25.0,32.9,103.9,0,ML,3.6
1973,8,12,3,26,34.0,32.88,104.05,0,ML,2.6
1973,8,12,3,53,16.0,32.77,104.1,0,ML,2.7
1973,8,12,4,19,16.0,33.0,104.0,0,ML,2.4
1973,8,12,4,51,6.0,32.9,103.8,0,ML,4.0
1973,8,12,6,6,4.0,32.93,104.0,0,ML,2.3
1973,8,12,6,16,26.0,32.98,103.95,0,ML,2.7
1973,8,12,6,46,5.0,32.95,104.05,0,ML,2.7
1973,8,12,6,52,23.0,32.97,104.05,0,ML,2.3
1973,8,12,7,46,9.0,32.9,104.05,0,ML,2.7
1973,8,12,8,21,44.0,32.8,104.0,0,ML,2.6
1973,8,12,8,25,13.0,32.83,104.0,0,ML,2.4
1973,8,12,8,56,41.0,32.83,104.0,0,ML,2.2
